PPM,AMP
-0.948822021484375,7.009555926410036e-07
-0.94842529296875,7.012715018052829e-07
-0.948028564453125,7.01587567188567e-07
-0.9476318359375,7.019037889133706e-07
-0.947235107421875,7.022201670575396e-07
-0.94683837890625,7.025367017316625e-07
-0.946441650390625,7.028533930593384e-07
-0.946044921875,7.031702411082214e-07
-0.945648193359375,7.034872460008265e-07
-0.94525146484375,7.038044078434055e-07
-0.944854736328125,7.041217267059977e-07
-0.9444580078125,7.044392027226107e-07
-0.944061279296875,7.047568359862689e-07
-0.94366455078125,7.050746265828411e-07
-0.943267822265625,7.053925746521895e-07
-0.94287109375,7.057106802760629e-07
-0.942474365234375,7.06028943545968e-07
-0.94207763671875,7.063473645820342e-07
-0.941680908203125,7.066659434688295e-07
-0.9412841796875,7.069846803345065e-07
-0.940887451171875,7.073035752538752e-07
-0.94049072265625,7.076226283288505e-07
-0.940093994140625,7.079418397084019e-07
-0.939697265625,7.082612094658214e-07
-0.939300537109375,7.085807376757021e-07
-0.93890380859375,7.089004244893986e-07
-0.938507080078125,7.092202699890936e-07
-0.9381103515625,7.095402742743166e-07
-0.937713623046875,7.098604374519701e-07
-0.93731689453125,7.101807596139945e-07
-0.936920166015625,7.105012409002517e-07
-0.9365234375,7.10821881389238e-07
-0.936126708984375,7.111426811744117e-07
-0.93572998046875,7.114636403735171e-07
-0.935333251953125,7.117847590986607e-07
-0.9349365234375,7.121060374376629e-07
-0.934539794921875,7.124274755078343e-07
-0.93414306640625,7.127490734002481e-07
-0.933746337890625,7.130708312341662e-07
-0.933349609375,7.133927491069503e-07
-0.932952880859375,7.137148271192141e-07
-0.93255615234375,7.140370653707043e-07
-0.932159423828125,7.143594639893568e-07
-0.9317626953125,7.146820230497647e-07
-0.931365966796875,7.150047426933079e-07
-0.93096923828125,7.153276230021689e-07
-0.930572509765625,7.156506640771786e-07
-0.93017578125,7.159738660339129e-07
-0.929779052734375,7.162972289651796e-07
-0.92938232421875,7.16620752999348e-07
-0.928985595703125,7.169444382142641e-07
-0.9285888671875,7.172682847363457e-07
-0.928192138671875,7.175922926742299e-07
-0.92779541015625,7.179164621133518e-07
-0.927398681640625,7.182407931764431e-07
-0.927001953125,7.185652859578295e-07
-0.926605224609375,7.188899405661479e-07
-0.92620849609375,7.192147571202269e-07
-0.925811767578125,7.1953973572003e-07
-0.9254150390625,7.198648764596659e-07
-0.925018310546875,7.201901794516748e-07
-0.92462158203125,7.205156448023085e-07
-0.924224853515625,7.208412726345155e-07
-0.923828125,7.211670630358994e-07
-0.923431396484375,7.214930161198677e-07
-0.92303466796875,7.218191319907207e-07
-0.922637939453125,7.221454107547102e-07
-0.9222412109375,7.224718525263279e-07
-0.921844482421875,7.227984573966468e-07
-0.92144775390625,7.231252254883986e-07
-0.921051025390625,7.234521569024141e-07
-0.920654296875,7.23779251768147e-07
-0.920257568359375,7.241065101599737e-07
-0.91986083984375,7.244339321952047e-07
-0.919464111328125,7.247615179889824e-07
-0.9190673828125,7.250892676356323e-07
-0.918670654296875,7.25417181266343e-07
-0.91827392578125,7.257452589598274e-07
-0.917877197265625,7.260735008548635e-07
-0.91748046875,7.264019070386211e-07
-0.917083740234375,7.26730477616051e-07
-0.91668701171875,7.270592127142216e-07
-0.916290283203125,7.273881124118461e-07
-0.9158935546875,7.277171768587613e-07
-0.915496826171875,7.280464061356316e-07
-0.91510009765625,7.283758003667068e-07
-0.914703369140625,7.287053596489144e-07
-0.914306640625,7.290350840846033e-07
-0.913909912109375,7.293649737969386e-07
-0.91351318359375,7.296950288893534e-07
-0.913116455078125,7.300252494676657e-07
-0.9127197265625,7.303556356426811e-07
-0.912322998046875,7.306861875366975e-07
-0.91192626953125,7.3101690523927e-07
-0.911529541015625,7.313477888744313e-07
-0.9111328125,7.316788385495175e-07
-0.910736083984375,7.320100543690457e-07
-0.91033935546875,7.323414364388339e-07
-0.909942626953125,7.326729848809634e-07
-0.9095458984375,7.33004699797566e-07
-0.909149169921875,7.333365813026998e-07
-0.90875244140625,7.336686295112901e-07
-0.908355712890625,7.340008445174458e-07
-0.907958984375,7.343332264454164e-07
-0.907562255859375,7.346657753817213e-07
-0.90716552734375,7.349984914835697e-07
-0.906768798828125,7.353313748283737e-07
-0.9063720703125,7.356644255208673e-07
-0.905975341796875,7.359976436952746e-07
-0.90557861328125,7.363310294476559e-07
-0.905181884765625,7.366645828881663e-07
-0.90478515625,7.369983041445247e-07
-0.904388427734375,7.373321933058525e-07
-0.90399169921875,7.376662504961825e-07
-0.903594970703125,7.380004758167791e-07
-0.9031982421875,7.383348693938436e-07
-0.902801513671875,7.386694313295077e-07
-0.90240478515625,7.390041617423831e-07
-0.902008056640625,7.393390607335175e-07
-0.901611328125,7.396741284189205e-07
-0.901214599609375,7.400093649169871e-07
-0.90081787109375,7.403447703300658e-07
-0.900421142578125,7.406803447735158e-07
-0.9000244140625,7.410160883780919e-07
-0.899627685546875,7.413520012264103e-07
-0.89923095703125,7.416880834479247e-07
-0.898834228515625,7.420243351499711e-07
-0.8984375,7.423607564492098e-07
-0.898040771484375,7.426973474490735e-07
-0.89764404296875,7.430341082829191e-07
-0.897247314453125,7.43371039035965e-07
-0.8968505859375,7.437081398279071e-07
-0.896453857421875,7.440454107918854e-07
-0.89605712890625,7.443828520278632e-07
-0.895660400390625,7.447204636553198e-07
-0.895263671875,7.450582457724838e-07
-0.894866943359375,7.453961985007859e-07
-0.89447021484375,7.457343219562356e-07
-0.894073486328125,7.460726162539753e-07
-0.8936767578125,7.464110815048105e-07
-0.893280029296875,7.467497178210644e-07
-0.89288330078125,7.470885253209152e-07
-0.892486572265625,7.474275041171197e-07
-0.89208984375,7.477666543235194e-07
-0.891693115234375,7.481059760520038e-07
-0.89129638671875,7.484454694242203e-07
-0.890899658203125,7.487851345516251e-07
-0.8905029296875,7.491249715294111e-07
-0.890106201171875,7.494649805024275e-07
-0.88970947265625,7.498051615717222e-07
-0.889312744140625,7.5014551485157e-07
-0.888916015625,7.504860404579806e-07
-0.888519287109375,7.50826738513035e-07
-0.88812255859375,7.511676091186484e-07
-0.887725830078125,7.515086523893124e-07
-0.8873291015625,7.518498684579503e-07
-0.886932373046875,7.521912574245254e-07
-0.88653564453125,7.525328194230452e-07
